肌肉无力,Muscle weakness|
小儿结核性脑膜炎,
结脑,
伪膜性肠炎,pseudomembranous enterocolitis|
发作性腹痛,
内痔,internal hemorrhoid|internal hemorrhoids|internal pile|internal hemorrhoid|internal hemorrhoids|
痔核,blind piles|hemorrhoid|pile|
山中宰相,
关节液渗出,
关节积液,hydrops articuli|
手五里,
五里,femur wuli|femurwuli|hand wuli|handwuli|
诊籍,the volume of treatmint|
心前区隐痛,
风寒湿痹,arthralgia due to wind cold-dampness|arthralgia due to wind-cold-dampness|arthralgia due to wind-cold dampness|anemofrigid-damp arthralgia|wind-cold-wetness bype of arthralgia|
上腹部压痛,
体检,physical check-up|a phusical examination|physical check-up|physical examination|health examination|medical examination|
气促明显,
时有发热,
地方性克汀病,endemic cretinism|endemic cretinism|endemic cretinism|
地甲病,
活埋,Burial alive|Buried alive|Live burial|
埋葬,inhumation|interment|sepulture|interment|SEP|sepultus|
反复晕厥,
唾血,
黑热病,black fever|ala-azar|Assam fever|black fever|black sickness|Burdwan fever|Dumdum fever|kala-azar|tropical splenomegaly|
内脏利什曼病,kala azar|kalaazar|visceral leishmaniasis|kala-azar|visceral leishmaniasis|VL|
气血失和,
气短,short breath|shortbreath|shorthness of breath|shorthnessofbreath|be short of breath|breathe hard|short breath|shortness of breath|short breath|
泌尿系统感染,
关节肿胀,arthroncus|arthrocele|
关节肿痛,
急性阑尾炎,acute appendicitis|acuteappendicitis|acute appendicitis|acute appendicitis|
盲肠炎,cecitis|typhlenteritis|typhloenteritis|cecitis|typhlitis|cecitis|typhlenteritis|typhlitis|typhloenteritis|typhloteritis|
立普妥,
降血脂,reduce blood fat|
脓疱病,impetigo|pustulosis|pustulosis|impetigo|prop-pox|pustular dermatitis|pustulosis|scrum-pox|
传染性脓疱病,
献血,
纵隔增宽,widened mediastinum|wm|WMED|
颈强直,neck rigidity|stiff neck|stiffneck|neck rigidity|stiff-neck|
颈部不适,
骨皮质变薄,
热交换器,heat exchanger|heat exchanger|heat-exchanger|thermo-exchanger|
热交换,heat exchange|heat exchange|
延髓,bulb|medulla|bulb|bulbus medullae|bulbus rhachidicus|caudex dorsalis|medulla oblongata|oblongata|
延脑,medulla oblongata|medulla oblongata|
腹痛,abdominal pain|abdomnalgia|cllic|abdominal pain|bellache|cllic|there is a pain in the abdomen|abdominal pain|bellyache|celialgia|celiodynia|coeliodynia|stomach-ache|
上腹痛,epigastralgia|epigastric pain|epigastricpain|epigastralgia|pains in the epigastrium|Upper abdominal pain|Epigastric pain|
小儿咳嗽,infantile cough|
咳嗽,cough|tussis|begma|bex|cough|hawk|whoop|begma|bex|cough|tus.|tuss.|tussis|tussis|
腹胀,abdominal distention|fullness of atdomen|abdominal distension|abdominal distention|abdominal flatulence|distended abdomen|distention of theepigastrium|fullness and distension in the epigastrum|fullness of the abdomen|abdominal distention|
上腹胀,
面肌痉挛,
妊娠恶阻,pernicious vomiting|perniciousvomiting|pernicious vomiting with pregnancy|pregnant reaction|
乳溢,galactorrhea|galactorrhea|lactorrhea|
溢乳症,
泌乳素,
催乳素,galactagogin|
短暂性脑缺血发作,transient ischemic attack|
皮下脂肪萎缩,lipoatrophy|
皮下结节,subcutaneous nodule|warm nodule|subcutaneous nodule|
下肢水肿,Edema of lower extremity|
海蛇,sea snake|sea snake|
打穴,point hitting|
疥螨病,puces|sarcoptic acariasis|sarcoptidosis|scabies|glae|puces|sarcoptic acariasis|sarcoptic ascariasis|scabies|gaile|gale|puces|sarcoptic acariasis|sarcoptidosis|scabies|seven-year itch|
大便溏泄,loose stool with indigested grains|
过敏性肺炎,hypersensitivity pneumonitis|allergic pneumonia|Loffler'a syndrome|Hypersensitivity pneumonia|Hypersensitivity pneumonitis|
高动力性循环状态,
舌苔黄,red or maroon tongue with yellowish coating|yellowish glossy coating of the tongue|
无汗症,adiaphoresis|adiapneustia|anhidrosis|anhidrosis|anidrosis|anhidrosis|anidrosis|anhidrosis|
无汗,anhidrosis|no sweat|adiaphoresis|adiapneustia|anhidrosis|anidrosis|no sweat|Absent sweating|
肾脏异常,
肺泡出血,
肺部异常,
气急,
神阙,shenque|umbilici|umbilicus|Navel|Shenjue|Shenque point|umbilicus|
脐中,
劳力性呼吸困难,DOE|dyspnea on exertion|
呼吸困难,breathe hard|breathe with difficulty|dyspnea|dyspneic|lose one's breath|anhelation|Dp|dysp.|dyspnea|dyspneic respiration|dyspnoea|embarrassment|
单睑,
泪腺,glandula lacrimalis|lacrimal gland|lachrymal gland|the lacrimal glands|caruncula innominata|carunculae innominate|glandula lacrimalis|lachrymal gland|lacrimal gland|tear gland|
慢性化脓性骨髓炎,chronic suppurative osteomyelitis|chronic pyogenic osteomyelitis|
劳力性呼吸困难,DOE|dyspnea on exertion|
阵发性呼吸困难,paroxysmal dyspnea|paroxysmal dyspnea|pseudoasthma|paroxysmal dysplasia|
急性中耳炎,acute ear|otitis media acuta|acute ear|otitis media acuta|acute otitis media|AOM|
中耳炎,ititis media|tympanitis|tympanitis|OM|otitis media|tympanitis|
吞咽发呛,
吞咽不适,
兔热病,rabbit fever|rabbitfever|tularemia|rabbit fever|deer fly disease|deer fly fever|deer-fly malady|Pahvant Valley fever|Pahvant Valley plague|rabbit fever|tularaemia|tularemia|
土拉菌病,rabbit fever|rabbitfever|tularemia|rabbit fever|Pahvant Valley fever|Pahvant Valley plague|tularaemia|tularemia|
男子性功能障碍,
过敏性皮炎,allergic dermatits|allergic dermatitis|Sensitization dermatitis|
腹痛,
口淡无味,
口淡,tastelessness|tasteles in the mouth|tastelessness|tastelessness in the mouth|
结节,node|nodule|tubercle|tuberosity|node|tuber|tubercula|tuberosity|tubrculum|nodus|noeud|scobination|tubercle|tuberculum|
肺部结节,
牛皮癣,leprous psora|neurodermatitis|psoriasis|psychosomatic|alphos|lepra alphoides|leprous psora|psoriasis|Ps|psora|psoriasis|psoriasis vulgaris|scaly tetter|serpedo|
老年斑,senile plaque|senile plaque|age pigment|liver spot|senile plaques|SP|
磷,phosphorous|phosphorus|fosforus|phos.|phosphonium|phosphor|phosphorus|phosphours|
红磷,red phosphorus|red phosphorus|amorphous phosphorus|phosphorus amorphous|red phosphorus|red phosphorus amorphous|
小眼球,microphthalmus|nanophthalmos|
息肉,polyp|polypus|polyp|polypus|[单]polypus|[复]polypi|
胃息肉,polyp of stomach|Gastric polyp|
先天性睾丸发育不全,congenital testicular hypoplasia|
骨髓炎,cold abscess|medullitis|osteomyelitis|cold abscess|medullitis|osteomyelitis|carious osteitis|medullitis|OM|Osteo|osteomyelitis|
立普妥,
呼吸浅,
脚气病,beriberi|loempe|beriberi|asjike|beriberi|dietetic neuritis|endemic neuritis|endemic polyneuritis|Kakke|neuritis multiplex endemica|perneiras|polyneuritis endemic|beriberi|
足癣,ringworm of the feet|ringworm of feet|
时有恶心,
屈光不正性弱视,ametropic amblyopia|
小儿再生障碍性贫血,
再障,aplastic anemia|
脑桥小脑角综合征,
小脑共济失调,cerebellar ataxia|cerebllar ataxia|
紫癜性肾炎,
血尿伴蛋白尿,
血尿,hematuria|blod water|blood in the urine|hematuresis|hematuria|hemuresis|red water|blood urine|bloody urine|cruenturesis|erythrocyturia|haematuria|haemuresis|hem.|hematuresis|hematuria|hemuresis|urina cruenta|
肝区痛,
肝区疼痛,hepatalgia|pain of the hepatic region|
稀便,Loose stools|
芬必得,Fenbid|
癌性输尿管狭窄,
输尿管狭窄,stricture of the ureter|ureterostenosis|ureterostenoma|ureterostenosis|
视野缺损,visual field defect|defect of field vision|defect of visual field|field defect|field-defect|VFD|visual field defect|
甲状腺机能减退症,hypothyroidism|
关节痛,arthralgia|arthralgia|arthrodynia|arthrosis|pain in articulation|arthralgia|arthrodynia|arthronalgia|joint pain|
关节积液,hydrops articuli|
亚临床甲状腺功能亢进,
亚临床甲亢,
口腔溃疡,stomatocace|ulcerations of the oral cavity|ulceratiue stomatitis|ulcer in the oral cavity|ulcer of oral cavity|ulcerations of oral cavity|ulcerations of the oral cavity|ulcerative stomatitis|dental ulcer|
心肌缺血,myocardial ischemia|heart muscle ischemia|MI|myocardial ischemia|
缺血性心脏病,
颞动脉炎,TA|temporal arteritis|
关节液渗出,
急性腹痛,acute abdominal pain colic intestinal colic|acute abdominalgia|acute abdominal pain colic intestinal colic|acute abdominalgia|cramp|Acute abdominal pain|
神志不清,loss of partial consciousness|loss of partial consciousness|mental disturbance with incoherence|partial loss of consciousness|obnubilation|
过敏性鼻炎,allergic rhinitis|allergicrhinitis|anaphylactic rhinitis|anaphylacticrhinitis|rhinallergosis|allergic rhinitis|allergic coryza|allergic rhinitis|anaphylactic rhinitis|AR|hyperesthetic rhinitis|Rh aller|rhinallergosis|rhinitis allergica|
变应性鼻炎,allergic rhinitis|allergicrhinitis|anaphylactic rhinitis|anaphylacticrhinitis|rhinallergosis|allergic rhinitis|AR|hyperesthetic rhinitis|paroxysmal rhinorrhea|periodic rhinitis|Rh aller|rhinallergosis|rhinitis allergica|
急淋,
痔疮,pile|haemorrhoids|hemorrhoid|haemorrhoids|
痔核,blind piles|hemorrhoid|pile|
节段性肌张力障碍,
肌张力障碍,dystonia|dysmyotonia|myodystonia|myodystony|
静脉曲张,caricosity|valvule|varix|varicosity|cirso-|phlebeurysma|var.|varication|varico-|varicose veins|varicosities|varicosity|VV|
泌尿道感染,ruinary tract infection|urinary tract in fection|urinary tract infection|UTI|
药物过敏反应,hypersensitivity reaction of drug|
痉挛,spasm|spasmus|tetany|convulsion|fit|spasm|tic|cramp|sp.|spasm|spasmo-|spasmodism|spasmus|Zuckung|
眼睑痉挛,blepharospasm|spasm of eyelid|blepharospasm|
水肿,edema proteinuria hypertension syndrome|edemasedemata|hydrops|oedema|dropsy|edemasedemata|hydrops|oedema|water swelling|-ites|cutaneous dropsy|dropsy|ed.|hydroncus|hydrops|hydropsia|hydrosarca|water thesaurismosis|
呼吸困难加重,
单纯性肥胖,simple obesity|Simple obesity|
小眼球,microphthalmus|nanophthalmos|
小眼,microphthalmia|microphthalmus|microphthalmos|microphthalmus|nanophthalmia|
流鼻血,bleed at the nose|
反复鼻出血,
胸痛,chest pain|pectoralgia|thorcalgia|chest pain|pectoralgia|thorcalgia|chest complaint|chest pain|CP|pectoralgia|stethalgia|thoracalgia|thoracodynia|
窦房折返性心动过速,SART|Sinoatrial reentrant tachycardia|
晕针,fainting during acupuncture|acupuncture fainting|faint during acupuncture|fainting druing acupuncture treatment|acupuncture syncope|
头晕,dizziness|have a sensation of dizziness|vertigo|be light in the had|be light in the head|dizziness|giddiness|have a sensation of dizziness|vertigines|vertigo|vertogoes|dizziness|lightheadedness|
心脏杂音,cardiac murmur|heart murmur|cardiac murmur|cardiac souffle|cardiac murmur|cardiac souffle|heart murmur|HM|murmur|
妊娠期,gestational period|pregnant stage|during jpregnancy|gerstatin period|gestation|gestational period|gravidarum|period of gestation|pregnant stage|gestation period|gestational period|trimester of pregnancy|
怀孕期,duration of pregnancy|gerstatin period|gestation period|period of pregnancy|gestation period|pg.|pregnancy|
眼底改变,
眼底病变,
急性荨麻疹,acute urticaria|acute urticaria|acute urticaria|
疼痛,ache|pain|sore|ache|be in pain|have pains in|hurt|irritation|-odynia|ache|odyno-|pain|pn.|soreness|dolores|
背部疼痛,
咳嗽,cough|tussis|begma|bex|cough|hawk|whoop|begma|bex|cough|tus.|tuss.|tussis|tussis|
夜间咳嗽,Nocturnal cough|
阴道恶性肿瘤,
流行性乙型脑炎,dpidemic encephalitis b|epidemic type b encephalitis|japanese b encephalitis|dpidemic encephalitis b|encephalitis B,epidemic|epidemic type B encephalitis|ETBE|Japanese B encephalitis|
胃肠功能紊乱,gastrointestinal dysfunction|
肠道功能紊乱,
舌苔薄白,thin an dwhite coating on the tongue|thin and whitish fur of the tngue|thin whitish coating of the tongue|white and thin coating of the tongue|
苔薄,
喂食困难,
上腹部肿块,
喂食困难,
张口困难,kifficulty in opening mouth|difficult in opening mouth|
视力视野改变,
肾血管平滑肌脂肪瘤,nagiomyolipoma of kidney|hamartoma of kidney|angiomyolipoma of kidney|
逆向型房室折返性心动过速,
心动过速,pyknocardia|tachycardia|tachycardia|tachyrhythmia|pyknocardia|pyknosphygmia|sychnosphygmia|syncopexia|syncopexy|tach.|tachy.|tachycardia|tachyrhythmia|tachysystole|
重度肥胖,
持续性咳嗽,
咳嗽明显,
乳腺囊性增生,
抑郁症,depression|depression|depressive disorder|
上腹部疼痛,
右上腹痛,right hypochondrial region|
细菌性肠炎,bacterial enteritis|
多系统器官功能衰竭,multiple system organ failure|
心瓣膜病变,
心脏瓣膜病变,
咳痰,expectoration|
吐酸,acid regurgitation|acidregurgitation|regurgitation of acid|
反酸,acid regurgitation|acidregurgitation|sour regurgitation|sour regurgitation|sour regurgitation|water brash|
脾大,hypersplenotrophy|splenomegalia|splenomegaly|enlarged spleen|splenomegalia|splenomegaly|hypersplenotrophy|splenauxe|splenectasis|splenomegalia|splenomegaly|
脾肿大,splenomegalia|splenomegaly|splenomegalia|splenomegaly|enlarged spleen|splenomegaly|
心包填塞,cardiac tamponade|pericardial tamponade|
心包积液,cardiac effusion|hydropericardium|pericardial effusion|pericardial effusion|hydrops pericardil|PE|pericardial effusion|pericardial fluid|
急性腹痛,acute abdominal pain colic intestinal colic|acute abdominalgia|acute abdominal pain colic intestinal colic|acute abdominalgia|cramp|Acute abdominal pain|
小腹痛,pain in the lower abdomen|
水肿,edema proteinuria hypertension syndrome|edemasedemata|hydrops|oedema|dropsy|edemasedemata|hydrops|oedema|water swelling|-ites|cutaneous dropsy|dropsy|ed.|hydroncus|hydrops|hydropsia|hydrosarca|water thesaurismosis|
脑水肿,cerebral edema|cereral edema|encephaledema|brain wet|cereral edema|BE|brain edema|cerebral edema|cerebral oedema|CO|encephaledema|wet brain|
宫颈不典型增生,
肠功能紊乱,disorder of the bowels's function|
胸痛,chest pain|pectoralgia|thorcalgia|chest pain|pectoralgia|thorcalgia|chest complaint|chest pain|CP|pectoralgia|stethalgia|thoracalgia|thoracodynia|
陶弘景,tao hongjing|
流鼻血,bleed at the nose|
鼻出血,nasal bleeding|nasal hemorrhage|nosebleed|rhinorrhagia|bleeding of the nose|epistaxis|nasal bleeding|nasal hemorrhage|noseblleed|rhinorrhagia|haemorrhagia nasalis|hemorrhinia|nasal bleeding|nasal hemorrhage|nosebleed|rhinorrhagia|
喂食困难,
进行性吞咽困难,
中枢性发热,
间断发热,
肋膜炎,pleurisy|pleurisy|pleurisy|
药肝,
头痛,cephalalgia|cephalodynia|depression syndrome|headache|capitis dolor|cephalalgia|cephalea|cerebralgia|headache|angina capitis|cephalalgia|cephalea|cephalgia|cephalodynia|cerebralgia|dolor capitis|encephalalgia|H/A|HA|headache|myalgia capitis|
肺外症状,
肺脓肿,pulmonary abscess|lung abscess|pulmonary abscess|
肌张力减低,hypomyotonia|
脑缺氧,cerebral anoxia|cerebral anoxia|
头晕,dizziness|have a sensation of dizziness|vertigo|be light in the had|be light in the head|dizziness|giddiness|have a sensation of dizziness|vertigines|vertigo|vertogoes|dizziness|lightheadedness|
浑身酸痛,
全身酸痛,
关节松弛,arthrochalasis|arthrochalasis|joint laxity|
膝关节疼痛,
获得性免疫缺陷综合征,acquired immune deficiency syndrome|
卡氏肺孢子虫肺炎,
脊柱侧弯,lateral curvature|lateralcurvature|rachioscoliosis|scoliolosis|
发音障碍,dysphonia|balaesitass|disorders of phonation|pararthria|
言语障碍,disturbance of speech|lalopathy|allolalia|handicap of speech|impediment speech|lalopathy|logopathy|speech disorder|
脑钙化,
进行性排尿困难,
缺钙,acalcerosis|calciprivia|calcium deficiency|
念珠菌感染,
念珠菌性外阴阴道炎,Candidal vulvovaginitis|Monilial vulvovaginitis|
食管瘘,esophageal fistula|esophageal fistula|esophageal fistula|
食管异物,esophageal foreign body|foreign body in esophagus|oesophageal foreign body|
腹部肿块,abdominal mass|abdominalmass|abdominalmass|mass in the abdomen|abdominal mass|
上腹部肿块,
骨癌,osteocarcinoma|osteocarcinoma|
软骨肉瘤,chondrosarcoma|chondroma sarcomatosum|chondrosarcoma|ChS|sarcoenchondroma|
呼吸音粗,
皮肤出血点,
皮肤出血,dermatorrhagia|dermorrhagia|dermatorrhagia|
搏动性头痛,pulsatile headache|pulsatile headache|
头痛加重,
过敏性鼻炎,allergic rhinitis|allergicrhinitis|anaphylactic rhinitis|anaphylacticrhinitis|rhinallergosis|allergic rhinitis|allergic coryza|allergic rhinitis|anaphylactic rhinitis|AR|hyperesthetic rhinitis|Rh aller|rhinallergosis|rhinitis allergica|
骨癌,osteocarcinoma|osteocarcinoma|
慢性粒细胞白血病,chronic granulocytic leukemia|chronicgranulocyticleukemia|chronic myelocytic leukemia|chronic granulocytic leukemia|CML|CGL|
慢性髓细胞白血病,Chronic myelocytic leukemia|
咽喉疼痛,
咽部充血,congestion of throat|
咳嗽,cough|tussis|begma|bex|cough|hawk|whoop|begma|bex|cough|tus.|tuss.|tussis|tussis|
免疫功能障碍,
免疫球蛋白缺乏,immunoglobulin deficiency|IgD|immunoglobulin deficiency|
过敏性肺炎,hypersensitivity pneumonitis|allergic pneumonia|Loffler'a syndrome|Hypersensitivity pneumonia|Hypersensitivity pneumonitis|
泼尼松,deltacortisone|prednisone|dehydrocortisone|metacortandracin|PATCO|prednisone|rectodelt|ropred|
强的松,delta cortisone|deltacortisone|metacortandracin|prednisone|prednisone|dehydrocortisone|deltacortisone|metacortandracin|prednis.|rectodelt|
晒斑,astates|sunburn|aestates|aestates|macula solaris|SB|sunburn|
突发性聋,sudden deafness|sudden deafness|
免疫缺陷病,immunologic deficiency disease|immunologic deficiency disease|ID|immunologic deficiency disease|
食少,deficiency of food|
精神恍惚,trance|Absentmindedness|
精神萎,
震颤,fremitus|thrill|tremble|tremella|tremor|n. chatter|fremitus|tingle|tremble|tremella|tremor|chatter|milk sickness|thr.|thrill|Tr|trem.|tremb.|trembling|tremor|trepidatio|trepidation|
肝功能受损,
肝功能损害,
绞痛,angina|cllic|colic|colicky|colicky pain|tormentum|a gripping pain|angina|angor|cllic|colicky pain|tormentum|tormina|angor|colic|colic pain|colica|colicky pain|cramp|griping pain|tormentum|tormina|
变异型心绞痛,variant anginapectois|Prinzmetal angina|VAP|variant angina pectoris|
晕动症,motion sickness|
癔病,HY|HYS|hysteria|hysterism|
歇斯底里症,hysteria|
腹胀明显,
红细胞体积增大,
红细胞增多,erythrocytosis|erythromatosis|erythromatosis|chronic splenomegalic polycythemia|erythrocythemia|erythrocytosis|erythromatosis|hyperglobulia|hyperglobulism|PCV|polycythemia rubra|polycythemia vera|rubra polycythemia|rubra vera polycythemia|
咯血,hempotysis|hemptysis|hemoptysis|spit blood|spit the blood|empsyxis|emptysis|haemoptysis|hemop.|hemoptysis|
肌张力障碍,dystonia|dysmyotonia|myodystonia|myodystony|
多胺,polyamine|polyamine|
聚胺,polyamine|Polyamine|
呼吸窘迫综合症,
呼吸困难加重,
铁锈色痰,rusty sputum|resty expectoratio|rusty sputum|rusty expectoration|rusty sputum|
咳脓痰,vomica|vomica|vomica|
咳嗽,cough|tussis|begma|bex|cough|hawk|whoop|begma|bex|cough|tus.|tuss.|tussis|tussis|
肌肉发育不良,amyoplasia|
肌肉劳损,muscular strain|muscle strain|
焦虑状态,anxiety state|state of anxiety|anxiety state|SA|state of anxiety|
克山病,keshan disease|Keshan disease|
地方性心肌病,endemic cardiomyopathy|
浅表淋巴结肿大,
抑郁发作,psycholepsy|psycholepsy|
咳嗽明显,
胃食管反流症状,
心肌缺血,myocardial ischemia|heart muscle ischemia|MI|myocardial ischemia|
红斑结节,
结节性红斑,dermatitis contusiformia|erythema nodosum|erythemanodosum|EN|erythema nodosum|
阴门,cunus|gash|vulva|vulva|vulvae|valva|
荨麻诊,
皮肤色素沉着,cutaneous pigmentation|Skin pigmentation|
幼儿急疹,roseola infatum|parascarlatina|exanthem subitum|exanthema subitum|parascarlatina|parascarlet|pseudorubella|roseola infantilis|roseola infantum|
婴儿玫瑰疹,exanthema subitum|exanthemasubitum|roseola infantilis|roseola infantum|parascarlatina|parascarlatina|parascarlet|
攒竹,tsanchu|Gathering Eyebrows|Zanzhu|
胃痛,gastralgia|stomach ache|stomach pain|stomachache|stomachalgia|gastralgia|gastric colic|gastroalgia colic|have a pain in the stomach|irregular stomachache with burning sensa-tion|stomach pain|gastralgia|gastrodynia|stomach-ache|stomachalgia|stomachodynia|
尿崩症,
尿崩,diabetes insipidus|
咳脓痰,vomica|vomica|vomica|
咳嗽,cough|tussis|begma|bex|cough|hawk|whoop|begma|bex|cough|tus.|tuss.|tussis|tussis|
鼻出血,nasal bleeding|nasal hemorrhage|nosebleed|rhinorrhagia|bleeding of the nose|epistaxis|nasal bleeding|nasal hemorrhage|noseblleed|rhinorrhagia|haemorrhagia nasalis|hemorrhinia|nasal bleeding|nasal hemorrhage|nosebleed|rhinorrhagia|
关东糖,
乳房肿块,Lump in breast|
乳腺肿块,
脾大,hypersplenotrophy|splenomegalia|splenomegaly|enlarged spleen|splenomegalia|splenomegaly|hypersplenotrophy|splenauxe|splenectasis|splenomegalia|splenomegaly|
冠状动脉硬化,coronary sclerosis|coronary sclerosis|coronary arteriosclerosis|coronary sclerosis|CS|
头痛,cephalalgia|cephalodynia|depression syndrome|headache|capitis dolor|cephalalgia|cephalea|cerebralgia|headache|angina capitis|cephalalgia|cephalea|cephalgia|cephalodynia|cerebralgia|dolor capitis|encephalalgia|H/A|HA|headache|myalgia capitis|
肛门畸形,
脱肛,proctoptosia|proctoptosis|anal prolapse|exania|proctoptosia|prolapse of rectum|prolapse of the anus|the rectum prolapses|archoptoma|anal prolapse|archocele|archoptoma|archoptosis|exania|hedrocele|proctoptosis|prolapse of anus|prolapsus ani|
耳聋,deafness|deafness|impaired hearing|deafness|epicophosis|
眼睑,eyelid|palpebra|eyelid|blephar-|blephara|blepharo-|blepharon|eyelid|operculum oculi|palpebra|
眼皮,
感觉障碍,sensory disturbance|sensory disturbance|sensory disability|sensory disturbance|
阳萎,impotence invirility|sexual impotence|agenesis|impotence|asynodia|imp|invirility|
阴痿,
心脏停搏,asystole|
心跳停止,cardiac arrest|cardiacarrest|cardiac arrest|
晕机,aeroplane disease|air craft disease|air sickness|airplane sickness|airsickness|aviation sickness|aviator's sickness|morbus aerialis|morbus aviatorum|
头晕,dizziness|have a sensation of dizziness|vertigo|be light in the had|be light in the head|dizziness|giddiness|have a sensation of dizziness|vertigines|vertigo|vertogoes|dizziness|lightheadedness|
骨关节病,osteo arthropathy|osteoarthropathy|OAP|osteoarthropathia|osteoarthrosis|
蛛网膜囊肿,arachnoid cyst|Arachnoid cyst|
骨软骨瘤,osteochondroma|osteoenchondroma|osteochondroma|osteochondroma|osteoenchondroma|
外生骨疣,hyperotosis|epostoma|exos.|exostosis|
脑膜炎,meningitis|pl meningitides|brain fever|cephalomeningitis|train fever|cephalitis meningica|cephalomeningitis|cerebral meningitis|cerebromeningitis|men.|mening.|meningitis|mgtis|
婴幼儿型内斜视,
咳痰,expectoration|
咳痰带血,
视力下降,diminution of vision|
心律失常,cardiac arrhythmia|arrhythmia|arrhythmia cordis|cardiac arrhythmia|timid arrhythmia|arhythmia|Arrhy|arrhythmia|CA|cardiac arrhythmia|cardiac dysrhythmia|CD|
慢性肺原性心脏病,chronic cor pulmonale|chronic pulmonary heart disease|chronic pulmonary heart disease|
肺心病,pulmonary heart disease|PHD|pneumocardial disease|
软纤维瘤,fibroma molle|soft fibroma|
皮赘,cutaneous tag|skin tag|
吞咽不适,
头痛,cephalalgia|cephalodynia|depression syndrome|headache|capitis dolor|cephalalgia|cephalea|cerebralgia|headache|angina capitis|cephalalgia|cephalea|cephalgia|cephalodynia|cerebralgia|dolor capitis|encephalalgia|H/A|HA|headache|myalgia capitis|
精神萎靡,listlessness|feeling listless and inert|
吞咽障碍,
吞咽困难,dyscatabrosis|dysphagia|dysphagy|dysphagia|acataposis|deglutitio impedita|dysphagia|
苔黄,yelow coating of the tongue|
胆囊息肉,
变动性,
食管癌,carcinoma of esophagus|carcinoma of esophagus|esophageal carcinoma|
药物过敏反应,hypersensitivity reaction of drug|
药物过敏,drug allergy|drug allergy|drug hypersensitivity|
性功能障碍,sexual disorder|sexual disturbance|
听力障碍,dysaudia|dysaudia|handicap of hearing|hearing disturbance|
甲状腺机能亢进,hyperthyrodiism|hyperthyroidosis|hyperthyroidism|hyperthyrea|hyperthyreosis|hyperthyroidation|hyperthyroidosis|thyroidism|
甲亢,hyperthyroidism|hyperthyreosis|hyperthyroidism|
肚脐眼,
骨量减少,osteopenia|
眼睑浮肿,palpebral edema|palpebraledema|puffiness of the eyelid|
心率过缓,
心动过缓,bradycardia|brady.|bradycardia|
儿童脑积水,
阵发性呼吸困难,paroxysmal dyspnea|paroxysmal dyspnea|pseudoasthma|paroxysmal dysplasia|
紫斑,suggillation|
收缩期震颤,systolic thrill|systolic threshold|
反复肺炎,
异性装扮癖,
心内膜弹力纤维增生,
心内膜炎,endocarditis|endocarditis|encarditis|endocarditis|
流行性脑脊髓膜炎,epidemic cerebrospinal meningitis|DCSM|epidemic cerebrospinal meningitis|
咳脓痰,vomica|vomica|vomica|
胃排空延缓,
胃痛,gastralgia|stomach ache|stomach pain|stomachache|stomachalgia|gastralgia|gastric colic|gastroalgia colic|have a pain in the stomach|irregular stomachache with burning sensa-tion|stomach pain|gastralgia|gastrodynia|stomach-ache|stomachalgia|stomachodynia|
甲状腺功能低下,hypothyreosis|hypothyroidism|hypothyrosis|thyroid hypofunction|
甲低,
眼肌瘫痪,ophthalmoparalysis|ophthalmoplegia|opthalmoplegia|ophthalmoparalysis|
轻度精神发育迟滞,
精神发育迟缓,mental retardation|mental retardate|mental retardation|backwardness|
甲状腺异常,
肥胖症,adiposis|obesity|adiposis|obesity|adiposity|adiposity|
持续性咳嗽,
基底细胞乳头瘤,basal cell papilloma|
蛋白尿,albuminuria|edema proteinuria hypertension syndrome|serumuria|proteinuria|albuminuria|hyperproteinuria|leukuresis|proteinuria|proteuria|serumuria|
疼痛,ache|pain|sore|ache|be in pain|have pains in|hurt|irritation|-odynia|ache|odyno-|pain|pn.|soreness|dolores|
膝关节疼痛,
空腹低血糖,Fasting hypoglycemia|
低血糖症,hypoglycemia|
骨片,exoskeletal plate|sclerite|bone flap|exoskeletal plate|spicula|spicule|spiculum|sclerite|
卡氏肺囊虫肺炎,PCP|pneumocystis carinii pneumonitis|
固醇,sterol|sterin|sterol|
甾醇,sterine|sterin|sterine|sterol|
心跳过速,
阵发性室上性心动过速,paroxysmal supraventricular tachycardia|PST|PSUT|
咳痰,expectoration|
黄痰,yellowish sputum|yellowish sputum|
易醒,unsound slumber|festless sleep|
皮肤发黄,
转氨酶增高,
转氨酶升高,
疲乏,fatigue|lassitude|weariness|lassitude|tiredness|weariness|lassitude|
氨基酸代谢病,aminoacidopathy|
氨基酸病,aminoacidopathy|Amino Acidopathy|
风湿性多发性肌痛症,
肌痛,myalgia|myodynia|myalgia|myosalgia|
神经纤维,fibre|nerve fiber|nerve fibre|neurofibra|
日射病,heliosis|insolation|siriasis|sunstroke|asphyxia solaris|siriasis|sun stroke|coup de soleil|heliosis|injury from solar radiation|insolation|siriasis|sun stroke|sunstroke|thermic fever|
中暑,heat apoplexy|heatstroke|heliosis|sunstroke|?heat apoolexy|be affected by heat|calenture|get heatstroke|get sunstroke|heat apoplexy|heat exhaustin|heat stroke|siriasis|suffer from heat exhaustion|sun stroke|swelter|heat apoolexy|calentura|calenture|coup de soleil|heat apoplexy|heat stroke|heat-stroke|heliosis|insolation|siriasis|sun stroke|sunstroke|thermic fever|thermoplegia|
呼吸浅慢,Slow shallow breathing|Hypopnea|
疣目,aural verruca|
偶有恶心,
搏动性头痛,pulsatile headache|pulsatile headache|
晕眩,
